24-03-2026 19:58:52 | POST | cafeteria-api/categorias
24-03-2026 20:00:36 | POST | cafeteria-api/categorias
24-03-2026 20:05:53 | POST | cafeteria-api/categorias
27-03-2026 17:50:23 | GET | cafeteria-api/categorias
27-03-2026 17:50:29 | GET | cafeteria-api/categorias
27-03-2026 19:29:39 | GET | cafeteria-api/categorias
27-03-2026 19:30:16 | GET | cafeteria-api/categorias
27-03-2026 19:31:48 | GET | cafeteria-api/categorias
27-03-2026 19:33:51 | GET | cafeteria-api/categorias
31-03-2026 14:38:59 | GET | cafeteria-api/categorias
31-03-2026 14:40:35 | GET | cafeteria-api/categorias
31-03-2026 14:40:36 | GET | cafeteria-api/categorias
31-03-2026 14:40:36 | GET | cafeteria-api/categorias
31-03-2026 14:40:54 | GET | cafeteria-api/categorias
31-03-2026 14:41:27 | GET | cafeteria-api/categorias
31-03-2026 15:00:10 | GET | cafeteria-api/categorias
31-03-2026 15:39:57 | GET | cafeteria-api/categorias
31-03-2026 15:40:13 | GET | cafeteria-api/categorias
31-03-2026 15:42:56 | GET | cafeteria-api/categorias
31-03-2026 17:17:15 | GET | cafeteria-api/categorias
31-03-2026 17:17:20 | POST | cafeteria-api/categorias
31-03-2026 17:17:21 | POST | cafeteria-api/categorias
31-03-2026 17:17:22 | GET | cafeteria-api/categorias
31-03-2026 17:17:22 | POST | cafeteria-api/categorias
31-03-2026 17:17:24 | GET | cafeteria-api/categorias
31-03-2026 17:17:25 | POST | cafeteria-api/categorias
31-03-2026 17:17:41 | GET | cafeteria-api/categorias
31-03-2026 18:35:26 | GET | cafeteria-api/categorias
31-03-2026 18:35:26 | GET | cafeteria-api/categorias
31-03-2026 18:35:27 | GET | cafeteria-api/categorias
31-03-2026 18:35:27 | GET | cafeteria-api/categorias
31-03-2026 19:05:39 | GET | cafeteria-api/categorias
31-03-2026 19:05:40 | GET | cafeteria-api/categorias
31-03-2026 19:05:40 | GET | cafeteria-api/categorias
31-03-2026 19:05:41 | GET | cafeteria-api/categorias
31-03-2026 19:05:41 | GET | cafeteria-api/categorias
31-03-2026 19:05:42 | GET | cafeteria-api/categorias
31-03-2026 19:05:42 | GET | cafeteria-api/categorias
31-03-2026 19:05:44 | GET | cafeteria-api/categorias
31-03-2026 19:05:45 | GET | cafeteria-api/categorias
31-03-2026 19:05:45 | GET | cafeteria-api/categorias
31-03-2026 19:05:46 | GET | cafeteria-api/categorias
31-03-2026 19:07:24 | GET | cafeteria-api/categorias
31-03-2026 19:07:24 | GET | cafeteria-api/categorias
31-03-2026 19:07:24 | GET | cafeteria-api/categorias
31-03-2026 19:07:25 | GET | cafeteria-api/categorias
31-03-2026 19:07:43 | GET | cafeteria-api/categorias
31-03-2026 19:07:44 | GET | cafeteria-api/categorias
31-03-2026 19:07:45 | GET | cafeteria-api/categorias
31-03-2026 19:47:14 | GET | cafeteria-api/categorias
31-03-2026 19:47:16 | GET | cafeteria-api/produtos
31-03-2026 19:47:17 | GET | cafeteria-api/categorias
31-03-2026 19:47:32 | POST | cafeteria-api/categorias
31-03-2026 19:47:32 | GET | cafeteria-api/categorias
31-03-2026 19:47:37 | GET | cafeteria-api/produtos
31-03-2026 19:47:46 | OPTIONS | cafeteria-api/produtos
31-03-2026 19:47:46 | POST | cafeteria-api/produtos
31-03-2026 19:47:46 | GET | cafeteria-api/produtos
31-03-2026 19:47:47 | GET | cafeteria-api/categorias
31-03-2026 19:47:48 | OPTIONS | cafeteria-api/categorias/1
31-03-2026 19:47:48 | DELETE | cafeteria-api/categorias/1
31-03-2026 19:47:48 | GET | cafeteria-api/categorias
31-03-2026 19:47:50 | GET | cafeteria-api/produtos
31-03-2026 19:47:51 | OPTIONS | cafeteria-api/produtos/1
31-03-2026 19:47:51 | DELETE | cafeteria-api/produtos/1
31-03-2026 19:47:51 | GET | cafeteria-api/produtos
31-03-2026 19:47:52 | GET | cafeteria-api/categorias
31-03-2026 19:48:07 | POST | cafeteria-api/categorias
31-03-2026 19:48:07 | GET | cafeteria-api/categorias
31-03-2026 19:48:11 | OPTIONS | cafeteria-api/categorias/2
31-03-2026 19:48:11 | DELETE | cafeteria-api/categorias/2
31-03-2026 19:48:11 | GET | cafeteria-api/categorias
31-03-2026 19:48:13 | GET | cafeteria-api/produtos
31-03-2026 19:50:27 | GET | cafeteria-api/produtos
31-03-2026 19:50:27 | GET | cafeteria-api/produtos
31-03-2026 19:50:31 | GET | cafeteria-api/categorias
31-03-2026 19:50:34 | GET | cafeteria-api/produtos
31-03-2026 19:51:12 | GET | cafeteria-api/produtos
31-03-2026 19:51:14 | GET | cafeteria-api/produtos
31-03-2026 19:51:14 | GET | cafeteria-api/produtos
31-03-2026 19:51:20 | OPTIONS | cafeteria-api/produtos
31-03-2026 19:51:20 | POST | cafeteria-api/produtos
31-03-2026 19:51:20 | GET | cafeteria-api/produtos
31-03-2026 19:51:58 | GET | cafeteria-api/categorias
31-03-2026 19:51:59 | GET | cafeteria-api/produtos
31-03-2026 19:52:00 | GET | cafeteria-api/produtos
31-03-2026 19:52:02 | GET | cafeteria-api/produtos
31-03-2026 19:52:02 | GET | cafeteria-api/produtos
31-03-2026 19:52:05 | GET | cafeteria-api/produtos
31-03-2026 19:52:06 | GET | cafeteria-api/produtos
31-03-2026 19:52:49 | GET | cafeteria-api/produtos
31-03-2026 19:52:49 | GET | cafeteria-api/produtos
31-03-2026 19:52:49 | GET | cafeteria-api/produtos
31-03-2026 19:52:49 | GET | cafeteria-api/produtos
31-03-2026 19:52:51 | OPTIONS | cafeteria-api/produtos
31-03-2026 19:52:51 | POST | cafeteria-api/produtos
31-03-2026 19:52:51 | GET | cafeteria-api/produtos
31-03-2026 19:52:53 | GET | cafeteria-api/categorias
31-03-2026 19:54:18 | GET | cafeteria-api/produtos
31-03-2026 19:54:19 | GET | cafeteria-api/categorias
31-03-2026 19:54:23 | GET | cafeteria-api/categorias
31-03-2026 19:54:32 | GET | cafeteria-api/categorias
31-03-2026 19:54:37 | GET | cafeteria-api/produtos
31-03-2026 19:54:41 | GET | cafeteria-api/categorias
31-03-2026 19:54:42 | GET | cafeteria-api/produtos
31-03-2026 19:54:43 | GET | cafeteria-api/categorias
31-03-2026 19:54:44 | GET | cafeteria-api/produtos
31-03-2026 19:54:45 | OPTIONS | cafeteria-api/produtos/2
31-03-2026 19:54:45 | DELETE | cafeteria-api/produtos/2
31-03-2026 19:54:45 | GET | cafeteria-api/produtos
31-03-2026 19:54:46 | GET | cafeteria-api/categorias
31-03-2026 19:54:47 | GET | cafeteria-api/categorias
31-03-2026 19:54:47 | GET | cafeteria-api/categorias
31-03-2026 19:54:52 | GET | cafeteria-api/produtos
31-03-2026 19:57:05 | GET | cafeteria-api/produtos
31-03-2026 20:00:08 | GET | cafeteria-api/produtos
31-03-2026 20:00:08 | GET | cafeteria-api/produtos
31-03-2026 20:00:11 | GET | cafeteria-api/categorias
31-03-2026 20:00:22 | POST | cafeteria-api/categorias
31-03-2026 20:00:22 | GET | cafeteria-api/categorias
31-03-2026 20:00:25 | OPTIONS | cafeteria-api/categorias/3
31-03-2026 20:00:25 | DELETE | cafeteria-api/categorias/3
31-03-2026 20:00:25 | GET | cafeteria-api/categorias
31-03-2026 20:00:26 | GET | cafeteria-api/produtos
31-03-2026 20:00:33 | POST | cafeteria-api/produtos
31-03-2026 20:00:33 | GET | cafeteria-api/produtos
